,gender,event,medal,abb,country,type,year
0,Men,Double FITA Round Amputee,Gold,DEN,Denmark,Archery,1980
1,Men,Double FITA Round Amputee,Silver,FRG,Germany,Archery,1980
2,Men,Double FITA Round Amputee,Bronze,JPN,Japan,Archery,1980
3,Men,Double FITA Round Paraplegic,Gold,FRG,Germany,Archery,1980
4,Men,Double FITA Round Paraplegic,Silver,BEL,Belgium,Archery,1980
5,Men,Double FITA Round Paraplegic,Bronze,GBR,UK,Archery,1980
6,Men,Double FITA Round Tetraplegic,Gold,CAN,Canada,Archery,1980
7,Men,Double FITA Round Tetraplegic,Silver,NOR,Norway,Archery,1980
8,Men,Double FITA Round Tetraplegic,Bronze,FRA,France,Archery,1980
9,Men,Double FITA Round Novice Paraplegic,Gold,MEX,Mexico,Archery,1980
10,Men,Double FITA Round Novice Paraplegic,Silver,NED,Netherlands,Archery,1980
11,Men,Double FITA Round Novice Paraplegic,Bronze,NED,Netherlands,Archery,1980
12,Men,Double FITA Round Novice Tetraplegic,Gold,FIN,Finland,Archery,1980
13,Men,Double FITA Round Novice Tetraplegic,Silver,JPN,Japan,Archery,1980
14,Men,Double FITA Round Novice Tetraplegic,Bronze,SWE,Sweden,Archery,1980
15,Men,Short Metric Round Paraplegic,Gold,FRA,France,Archery,1980
16,Men,Short Metric Round Paraplegic,Silver,USA,USA,Archery,1980
17,Men,Short Metric Round Paraplegic,Bronze,FRA,France,Archery,1980
18,Men,Short Metric Round Tetraplegic,Gold,FRG,Germany,Archery,1980
19,Men,Short Metric Round Tetraplegic,Silver,AUS,Australia,Archery,1980
20,Men,Short Metric Round Tetraplegic,Bronze,NOR,Norway,Archery,1980
21,Men,Advanced Metric Round Paraplegic,Gold,KOR,South Korea,Archery,1980
22,Men,Advanced Metric Round Paraplegic,Silver,AUT,Austria,Archery,1980
23,Men,Advanced Metric Round Paraplegic,Bronze,AUT,Austria,Archery,1980
24,Women,Double FITA Round Amputee,Gold,NOR,Norway,Archery,1980
25,Women,Double FITA Round Amputee,Silver,POL,Poland,Archery,1980
26,Women,Double FITA Round Amputee,Bronze,FRA,France,Archery,1980
27,Women,Double FITA Round Paraplegic,Gold,NZL,New Zealand,Archery,1980
28,Women,Double FITA Round Paraplegic,Silver,FIN,Finland,Archery,1980
29,Women,Double FITA Round Paraplegic,Bronze,FRG,Germany,Archery,1980
30,Women,Double FITA Round Novice Paraplegic,Gold,JPN,Japan,Archery,1980
31,Women,Double FITA Round Novice Paraplegic,Silver,,,Archery,1980
32,Women,Double FITA Round Novice Paraplegic,Bronze,,,Archery,1980
33,Women,Short Metric Round Paraplegic,Gold,AUT,Austria,Archery,1980
34,Women,Short Metric Round Paraplegic,Silver,GBR,UK,Archery,1980
35,Women,Short Metric Round Paraplegic,Bronze,,,Archery,1980
36,Women,Advanced Metric Round Paraplegic,Gold,USA,USA,Archery,1980
37,Women,Advanced Metric Round Paraplegic,Silver,NZL,New Zealand,Archery,1980
38,Women,Advanced Metric Round Paraplegic,Bronze,GBR,UK,Archery,1980
39,Men,Double FITA Round Team Amputee,Gold,FRG,Germany,Archery,1980
42,Men,Double FITA Round Team Amputee,Silver,SWE,Sweden,Archery,1980
45,Men,Double FITA Round Team Amputee,Bronze,,,Archery,1980
46,Men,Double FITA Round Team Paraplegic,Gold,BEL,Belgium,Archery,1980
49,Men,Double FITA Round Team Paraplegic,Silver,GBR,UK,Archery,1980
51,Men,Double FITA Round Team Paraplegic,Bronze,FRG,Germany,Archery,1980
52,Men,Double FITA Round C1-C2,Gold,CAN,Canada,Archery,1984
53,Men,Double FITA Round C1-C2,Silver,,,Archery,1984
54,Men,Double FITA Round C1-C2,Bronze,,,Archery,1984
